id;title;description;max_points;dead_line;file_path;file_type_icon_path;date_created;date_updated
1;Gorgeous Games Buckinghamshire;B2C transmitting Brunei Dollar;65408;2021-02-25T09:10:30;Sao Tome and Principe Auto Loan Account;Canadian Dollar pink;2021-02-25T06:14:10;2021-02-25T01:17:24
2;bandwidth;Handcrafted Steel Mouse;17902;2021-02-25T06:19:10;panel neural-net;Industrial Oklahoma;2021-02-25T11:17:32;2021-02-25T18:16:10
3;deposit Manager;Fantastic Nepal Chicken;15525;2021-02-25T18:34:11;Multi-layered Assurance;Internal;2021-02-25T13:06:14;2021-02-25T20:01:45
4;black SQL streamline;Granite object-oriented transmitting;81998;2021-02-25T13:40:20;Cotton Analyst bypassing;Barbados Dollar clicks-and-mortar reboot;2021-02-25T19:53:47;2021-02-25T11:45:05
5;Connecticut;Connecticut Beauty human-resource;26341;2021-02-25T18:54:13;Communications transition;Car;2021-02-25T04:39:47;2021-02-25T02:39:15
6;AGP green Fantastic Steel Car;coherent SDD;99750;2021-02-25T12:20:33;Practical synthesize hack;Mozambique;2021-02-25T06:02:12;2021-02-25T17:52:20
7;Estonia;Money Market Account Integrated driver;17740;2021-02-24T23:25:40;strategize;Electronics;2021-02-25T15:13:27;2021-02-25T07:08:59
8;Handcrafted Steel Shoes;Oval Applications ROI;70751;2021-02-25T11:17:40;Organic;Illinois;2021-02-25T13:46:35;2021-02-24T21:14:10
9;compressing;Mauritius Rupee salmon Electronics;87973;2021-02-25T02:37:28;Credit Card Account;sexy Throughway;2021-02-24T23:20:57;2021-02-25T14:38:26
10;withdrawal;deploy next-generation;49974;2021-02-25T12:36:27;Grocery Burundi Franc circuit;Savings Account Configuration revolutionary;2021-02-25T02:26:39;2021-02-25T14:57:27
